split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
test,NLoS,single_41m_scale,Only 41-pixel morphology plus geometry,1.9307465623314075,0.0030300511729539625,1.216314981798456,1.7370444115023174,1.1145607215660924,391721805,3.549748409347057,2.487125230491046,31365314
test,NLoS,lean_six_topology,Six-feature topology-routed model,1.9336725372025423,0.005956026044088736,1.2174734574969077,1.7370444115023174,1.1145607215660924,391721805,3.5711674060545042,2.50275192390433,31365314
test,NLoS,lean_four_full_routing,Four-feature model with nine regimes,1.9336912543128777,0.005974743154424145,1.2178030864230573,1.7370444115023174,1.1145607215660924,391721805,3.5713041113927417,2.507198292676653,31365314
test,NLoS,lean_four_topology,Four-feature topology-routed model,1.9343009160063545,0.006584404847900904,1.2177897633454855,1.7370444115023174,1.1145607215660924,391721805,3.5757548008837383,2.5070185775140352,31365314
test,NLoS,distance_density_topology,"Distance and density only, topology-routed",1.9369087381460361,0.009192226987582597,1.2186089171070889,1.7370444115023174,1.1145607215660924,391721805,3.594746128572885,2.5180681530105464,31365314
test,NLoS,distance_visibility_topology,"Distance and local visibility only, topology-routed",1.94035502694384,0.01263851578538655,1.2185782278659618,1.7370444115023174,1.1145607215660924,391721805,3.619729578150471,2.5176541854471197,31365314
test,NLoS,distance_only_full_routing,Distance only with nine regimes,1.9537823337023321,0.02606582254387857,1.2235947003108694,1.7370444115023174,1.1145607215660924,391721805,3.7158784568123315,2.5853214459839924,31365314
test,NLoS,distance_only_topology,"Distance only, topology-routed",1.9591548202811722,0.03143830912271861,1.2238002313132352,1.7370444115023174,1.1145607215660924,391721805,3.753840894373896,2.588093856285899,31365314
test,NLoS,cost231_only_full_routing,Calibrated COST231 only with nine regimes,1.9551185912865368,0.027402080128083206,1.2257254386808605,1.7370444115023174,1.1145607215660924,391721805,3.7253469429996464,2.614063002924958,31365314
test,NLoS,cost231_only_topology,"Calibrated COST231 only, topology-routed",1.9574777844381137,0.02976127327966016,1.2325518816363827,1.7370444115023174,1.1145607215660924,391721805,3.7420209953256705,2.7061449786727456,31365314
test,NLoS,constant_full_routing,Constant prediction in each of nine regimes,2.0810322937236747,0.15331578256522116,1.2835008777684271,1.7370444115023174,1.1145607215660924,391721805,4.55339614998401,3.393396634736156,31365314
test,NLoS,constant_topology,Constant prediction per topology,2.079325443414447,0.15160893225599326,1.282941661235315,1.7370444115023174,1.1145607215660924,391721805,4.542865787600291,3.3858533558169137,31365314
test,NLoS,constant_global,Single global NLoS constant,2.0789143957858918,0.15119788462743822,1.2829635068160383,1.7370444115023174,1.1145607215660924,391721805,4.540327485609475,3.3861480311328096,31365314
test,LoS,without_radial,Without radial residual,1.9322014654393922,0.004484954280938647,1.2275496667751054,1.7424181432807355,1.1280357495326,391721805,3.5274649719456406,2.4703802434068196,31365314
test,LoS,without_coherent,Without coherent two-ray term,3.72870431809613,1.8009878069376763,2.9309136482062796,3.7443499842355665,2.9677887331891646,391721805,3.5274649719456406,2.4703802434068196,31365314
test,LoS,fspl_bias_only,FSPL plus height-binned bias only,3.959820069946398,2.0321035587879446,3.1566900524824533,3.992414819196515,3.2116431400771996,391721805,3.5274649719456406,2.4703802434068196,31365314
